name,address,website,tel,emails
Glyn Hopkin Nissan North London,"49-51 Stamford Hill, Hackney, London, N165SR",,02030583823,
Chelsea Truck Company,"375 Kensington High Street, Kensington and Chelsea, London, W148QA",,02037406005,
Lookers Land Rover Battersea,"50 Lombard Road, Wandsworth, London, SW113SU",http://www.lookerslandrover.co.uk,02072283001,
O M C,"Deptford Park Business Centre, Grinstead Road, Lewisham, London, SE85AD",http://www.ohmycar.co.uk,02086942000,
Lookers Volkswagen,"92 York Road, London, SW113RD",http://www.lookers.co.uk,02079245544,
Sytner Bmw,"20 Canada Square, London, E145NN",http://www.sytnercanarywharfbmw.co.uk,02077185600,
Majestic Autos,"Unit 15, Grosvenor Way, London, E59ND",http://www.majesticautos.co.uk,02088062211,
American Car Centre,"20 Lettice Street, Hammersmith and Fulham, London, SW64EH",http://www.americancarcentre.com,02088347221,
Mercedes-benz Chesea (Aftersales),"Jews Row, Wandsworth, London, SW181TB",http://www.mercedes-benzretailgroup.co.uk,02088709811,
Alex Creasy Ltd,"Unit 6 Compass House, Smugglers Way, Wandsworth, London, SW181DB",http://www.alexcreasy.co.uk,02072284214,
Rykar,"Unit 7-8 Ravensdale Industrial Estate, Timberwharf Road, Hackney, London, N166DB",http://www.rykar.co.uk,02088026959,
B & M Motors,"1a Brockley Cross, London, SE42AB",,02086925082,
Euro Motor Giant Ltd,"44 Broadway, Newham, London, E151XH",http://www.euromotorgiant.com,07862276050,
Mercedes-benz Temple Fortune,"1089 Finchley Road, Temple Fortune, London, NW110PU",http://www.mercedes-benzretailgroup.co.uk,02087310200,
Norton Way Skoda,"60-62 West Hill Road, Wandsworth, London, SW185HT",http://www.wimbledonparkhonda.co.uk,02088746262,
Joe Ludd Car Specialists,"11a Russel Parade, Golders Green Road, Barnet, London, NW119NN",http://www.joeludd.co.uk,02081361111,
German Motor Trade Sales Ltd,"9 Gilbert Street, Waltham Forest, London, E152AG",,07704476775,
Best Motor,"551 Lea Bridge Road, Waltham Forest, London, E107EB",http://www.bestmotor.co.uk,02030182526,
Prime Luxury Cars,"199 Church Road, Brent, London, NW109EJ",,02034890240,
Falcons Mob,"Unit 22 203-205, The Vale, Ealing, London, W37QS",,02079981558,
Tesla,"Unit 91 Brent Cross Shopping Centre, Prince Charles Drive, Barnet, London, NW43FB",http://www.tesla.com,02035146857,
The Garage Car Sales,"191 Forest Road, Waltham Forest, London, E176HE",,02031054420,
Landrover Jaguar,"Unit 19, 1000 North Circular Road, Brent, London, NW27JP",http://www.group1auto.co.uk,02039858950,
Robins & Day,"North Circular Road, London, NW21LY",http://www.nowvauxhall.co.uk,02077230022,
Jabarkhel Ltd,"152-154 Coles Green Road, Brent, London, NW27HD",,02084527048,
Whitehouse Blackheath,"Lee Terrace, London, SE135DL",,02088524616,
B M W Blackheath,"Lee Terrace, Lewisham, London, SE135DL",http://www.stephenjames.co.uk,02086160515,
Ballards of Finchley Plc,"79 Glebe Road, London, N32AX",http://www.ballardssaab.co.uk,02083466696,
G T Vehicles Ltd,"6 Oliver Business Park, Oliver Road, Brent, London, NW107JB",http://www.gt-vehicles.com,02088386789,
Trans City Car Centre,"65-71 Hoe Street, Waltham Forest, London, E174SA",http://www.transcityskoda.co.uk,02085206758,
K E G Enterprises Ltd,"12 Gateway Mews, Bounds Green, Haringey, London, N112UT",http://www.kegcars.com,01923441182,
L F Cars Ltd,"105 West Hendon Broadway, London, NW97BN",http://www.lfcars.co.uk,02082024477,
Japanese Trade Centre Ltd,"Multi Storey Car Park, Sentinel Square, Barnet, London, NW42EL",,02082015353,
W4car Sales,"2 Bridgman Road, Ealing, London, W45BD",http://www.w4carsales.co.uk,02081150152,
Desira,"Autopia House, 231 Colney Hatch Lane, London, N113DG",http://www.desiragroup.com,02082119100,
Hyundai North London,"Colney Hatch Lane, Barnet, London, N113DG",http://www.endeavourautomotive.co.uk,02084576660,
Desira Southgate,"231 Colney Hatch Lane, London, N113DG",http://www.desiragroup.com,02082119121,
Alan Day New Southgate Ltd,"Pinkham Way, Barnet, London, N113UT",http://www.alandayvw.co.uk,02089204000,
The Car Expert,"7 Heritage House, Inner Park Road, London, SW196ED",http://www.thecarexpert.co.uk,02035661427,
UK Car Sales,"596-598 High Road, Leytonstone, Waltham Forest, London, E113DA",,02079989025,
Go Vauxhall,"80 Plough Lane, Tooting, Merton, London, SW170BW",http://www.govauxhall.co.uk,02086059393,
Robins & Day,"80 Plough Lane, London, SW170BW",http://www.robinsandday.co.uk,02037472956,
Dees of Wimbledon,"67-71 Plough Lane, Merton, London, SW170BW",http://www.dees.co.uk,02089469000,
Porsche Centre West London,"Chiswick Garage, Cedars Road, London, W44LZ",http://www.porsche.co.uk,02087427000,
Renault London West,"Concord Road, Western Avenue, Ealing, London, W30RZ",http://www.renaultretail.co.uk,02082762000,
Nissan Retail,"Concord Road, Western Avenue, Ealing, London, W30RZ",http://www.nissanretail.co.uk,02082762003,
Nissan London West,"Western Avenue, Ealing, London, W30RZ",,02031990592,
Jambini Motors,"Unit 6 Northumbland Park Industrial Estate, Willoughby Lane, Haringey, London, N170YL",,02035815167,
Autohub Motors Ltd,"Unimix House, Abbey Road, Brent, London, NW107TR",,07713491669,
Lookers Plc,"Concord Road, Ealing, London, W30BF",http://www.lookers.co.uk,02089381300,
Jemca,"Hyde Estate Road, Barnet, London, NW96BH",http://www.jemcacargroup.co.uk,02082031888,
Mercedes-benz Bromley (Aftersales),"Units 13-15, Bell Green Retail Park, London, SE264PR",http://www.mercedes-benzretailgroup.co.uk,02086639800,
All Fords Ltd,"61-68 Eastmoor Street, London, SE78LX",,02083050503,
Endeavour Automotive,"115 Power Road, Hounslow, London, W45PY",http://www.endeavourautomotive.co.uk,02088345858,
Chiswick Honda,"4 Power Road, Hounslow, London, W45YT",http://www.chiswickhonda.com,02039845866,
Crown Honda,"Hyde Estate Road, London, NW96JX",http://www.crownhonda.co.uk,02082004040,
charmrace.com,"29 Coleridge Road, Barnet, London, N128DH",http://www.charmrace.com,02084466319,
Assured Cars,"Yard 7b Northfields Industrial Estate, Beresford Avenue, Wembley, HA01NW",http://www.assuredcars.co.uk,02089033669,
Cromwell Saab,"Unit 3 Broomsleigh Business Park, Worsley Bridge Road, Lewisham, London, SE265BN",http://www.cromwellsaab.com,02086989000,
Citroen London West,"Capital Interchange Way, Brentford, TW80EX",http://www.londonwest.citroen.co.uk,02089874000,
Robins & Day London West,"Capital Interchange Way, Brentford, TW80EX",http://www.dealer.citroen.co.uk/london-brentford,02031310098,
Lexus,"The Hyde, Edgware Road, Barnet, London, NW96NW",,02083582200,
Volvo Cars North London,"The Hyde, Edgware Road, Barnet, London, NW96NW",http://www.volvocarslondon.co.uk,02082009797,
Robins & Day Chingford,"457 Chingford Road, London, E48SP",http://www.robinsandday.co.uk,02038111334,
webuyanycar.com,"Wembley Retail Park, Engineers Way, Wembley, HA90EG",http://www.webuyanycar.com,02037589613,
G W R Kia,"963 Great West Road, Brentford, TW89FX",http://www.gwrkia.com,02038410247,
Bristol Street Motors Chingford,"3 Shadbolt Avenue, London, E48GP",http://www.bristolstreet.co.uk,02084185000,
Ancaster Fiat,"359 Bromley Rd, London, SE62RP",ancaster-auto.co.uk/fiat?locationcode=00000191,02037571958,rxm@ancaster.co.uk
Z G Autos,"45 Aspen Close, Ealing, London, W54YQ",,07858630660,
Totteridge Cars,"32a Finchley Park, Barnet, London, N129JN",http://www.totteridgecars.co.uk,02083689999,
Wimbledon Audi,"50 Kingston Road, Merton, London, SW191JZ",http://www.audi.co.uk/wimbledon,02085405590,
Mercedes-benz Brentford,"Unit 6 Kew Bridge Distribution Centre, Lionel Road South, Brentford, TW89QR",http://www.mercedes-benzbrentford.co.uk,02082329740,
Chingford Audi,"Unit 6 Cork Tree Way, Hall Lane, London, E48JA",http://www.essex-audi.co.uk,0208527077,
Porsche Centre East London,"Gallions Park, 101 Woolwich Manor Way, London, E65PA",http://www.jardinemotors.co.uk/porsche/dealership/porsche-centre-east-london,02037920859,
Ancaster,"61 Croydon Road, Bromley, London, SE207TF",http://www.ancaster.co.uk,02087689200,
Trust Ford,"319 The Hyde, Edgware Road, London, NW96TH",http://www.trustford.co.uk,02083588600,
Allen Briggs Motors Ltd,"47-59 Chingford Mount Road, Waltham Forest, London, E48LU",http://www.allenbriggs.com,02085275004,
Humming Bird Motors Kia,"363 Edgware Road, London, NW96AF",,02082002200,
W J King Garages,"40 Artillery Place, Greenwich, London, SE184AB",http://www.wjking.com,02088548161,
Trustford,"374 Ealing Road, Wembley, HA01HG",http://www.trustford.co.uk,02088102600,
Ken Brown Hyundai,"1-5 North Road, Richmond, TW94HA",http://www.kenbrownmotors.co.uk,02038468990,
Whetstone Audi,"1085-1103 High Road, London, N200PT",http://www.m25audi.co.uk,02083435050,
West Way Nissan Mill Hill,"517 Watford Way, London, NW72QR",http://www.westwaynissan.co.uk/west-way-nissan-mill-hill,02037747454,
West Way Nissan,"517 Watford Way, London, NW72QR",http://www.westwaynissan.co.uk,02082038890,
Mercedes-benz & Smart Brentford,"Great West Road, Brentford, TW89AH",http://www.mercedes-benzretailgroup.co.uk/,02085602151,
Collector Car Ltd,"3 Torrington Road, South Woodford, London, E182AS",,07722958828,
West London Audi,"958 Great West Road, Brentford, TW89BQ",http://www.sytner.co.uk,02083804000,
Autobase London Ltd,"3-10 Dowling Parade, Bridgewater Road, Wembley, HA01AJ",http://www.autobaselondon.co.uk,02089023456,
Grange Motors Ltd,"50-56 High Road, South Woodford, Redbridge, London, E182QL",http://www.grange.co.uk,02032845772,
Grange,"50-56 High Road, Redbridge, London, E182QL",http://www.grange.co.uk,02089896644,
Chiswick Suzuki,"Layton Road, Brentford, TW80QJ",http://www.seatwestlondon.co.uk,02085601718,
Porsche Centre East London,"101 Woolwich Manor Way, Gallion Park, Newham, London, E66EY",http://www.porscheeastlondon.co.uk,02032030444,
Masters Citroen,"1a Copers Cope Road, Beckenham, BR31NB",http://www.dealer.citroen.co.uk/beckenham,02086590909,
Wise Motor Company,"Wise Lane Mill Hill, Barnet, London, NW72RD",,07836217777,
Woodford Motor Co Ltd,"Woodford New Road, Woodford Green, IG89DX",http://www.womoco.co.uk,02085040017,
Robins & Day,"242 Morden Road, London, SW193BZ",http://www.robinsandday.co.uk,02033940893,
Glyn Hopkin Nissan East London,"1021 Romford Road, Newham, London, E125LH",,02089885684,
M F I Motor Group,"339b London Road, Mitcham, CR44BE",http://www.mfimotorgroup.com,02086822337,
Progress Vehicle Care,"535 Kingsbury Road, Brent, London, NW99EG",,02082047452,
Currie Motors,"1020 Great West Road, Brentford, TW89DP",,02085601100,
Golden Choice Cars Ltd,"Compound 7a 56 Magnet Road, East Lane Business Park, Wembley, HA97RG",http://www.goldenchoicecars.co.uk,02036454559,
Lookers Plc,"Puma Trade Park, 145 Morden Road, Mitcham, CR44DG",http://www.lookers.co.uk,02080310102,
Stephen James,"Unit 10 Duke of Wellington Avenue, Greenwich, London, SE186SR",http://www.stephenjamesbmw.co.uk,02083186868,
Ancaster Nissan Ltd,"43-45 Eltham High Street, London, SE91DH",http://www.ancaster.co.uk,02083316900,
Beadles,"Bromley Hill, Bromley, BR14JS",http://www.beadles.co.uk/volkswagen,02084609911,
Vision Traders Ltd,"Unit 5 Commerce Road, Brentford, TW88LE",http://www.visiontraders.co.uk,02085601078,
Marshall Audi,"237 Croydon Road, Beckenham, BR33PT",http://www.marshall.co.uk,02086580191,
Le Car Centre,"17-19 Daws Lane, Barnet, London, NW74SD",http://www.lecarcentre.co.uk,02089069770,
Car Valley,"400 Roding Lane South, Woodford Green, IG88EY",http://www.carvalleyuk.co.uk,02085510947,
Portiacraft,"555-561 Watford Way, Barnet, London, NW74RT",http://www.portiacraft.com,02089591604,
Mercedes-benz Bromley,"1-3 Wickham Road, Beckenham, BR35JS",http://www.mercedes-benzretailgroup.co.uk,02086639800,
Subhan Motors Ltd,"28 Grange Road, Ilford, IG11EU",http://www.subhan-motors.com,07506889411,
Robins & Day Vauxhall,"Chaffinch Business Park, Croydon Road, Beckenham, BR34AA",http://www.robinsandday.co.uk,02081501121,
Cambridge Autos,"280-288 Thornton Road, Croydon, CR03EU",http://www.cambridgeautos.co.uk,02086842481,
Parkside Motors,"200 Burnt Oak Broadway, Edgware, HA80AP",http://www.parksidemotorsltd.com,02089526908,
Toyota Jemca,"146-150 Burnt Ash Lane, Bromley, BR15TD",http://www.jemca.co.uk,02088572101,
Robins & Day,"Transport Avenue, Great West Road, Brentford, TW89HF",http://www.robinsandday.co.uk,02089573100,
Currie Motors Kingston,"Coombe Lane Flyover, Beverley Way, Kingston upon Thames, London, SW200AD",http://www.curriemotorskingston.toyota.co.uk,02089493333,
Mercedes-benz Retail Group,"1-3 Wickham Road, Beckenham, BR33JS",http://www.mercedes-benzretailgroup.co.uk,02086639800,
Motor Village,"121 Canterbury Road, Croydon, CR03HH",http://www.motorvillageuk.com,02086831000,
Berry Chiswick,"10-11 Syon Gate Way, Brentford, TW89DD",http://www.berrybmw.co.uk,02082325700,
Berry B M W Cheswick,"6 Shield Drive, Brentford, TW89EX",http://www.berrybmw.co.uk,02088479999,
Lookers West London Skoda,"931 Great West Road, Brentford, TW89DU",http://www.lookers.co.uk,02031998955,
West London Skoda,"931 Great West Road, Brentford, TW89DU",http://www.lookers.co.uk,02086855599,
Auto Select,"77 Larkshall Road, London, E46PD",http://www.autoselect-rlb.co.uk,02085312004,auto_select@btconnect.com
Mercedes-benz & Smart Croydon,"76-78 Purley Way, Croydon, CR03JP",http://www.mercedes-benzretailgroup.co.uk,02086654540,
RHS Motors,"Unit 12, Roman Industrial Estate, Tait Rd, Croydon, CR02DT",http://www.rhs-motors.co.uk/,02036334292,cars@rhs-motors.co.uk
Trust Ford,"357 Chigwell Road, Woodford Green, IG88PE",http://www.trustford.co.uk,02084989848,
Gates of Woodford,"357 Chigwell Road, Woodford Green, IG88PE",http://www.gates.co.uk,02039126082,
Robins & Day Edgware,"360-366 Burnt Oak Broadway, Edgware, HA85AN",http://www.dealer.citroen.co.uk/london-edgware,02031313052,
Masters of Beckenham Renault,"150-164 Upper Elmers End Road, Beckenham, BR33DZ",http://www.mastersgroup.co.uk/renault,02086509151,
Car Consultancy Ltd,"113 Great North Road, New Barnet, Barnet, EN51AW",http://www.4motors.com,08456526000,
Robins & Day,"High Street, Edgware, HA87EE",http://www.robinsandday.co.uk,02087311000,
West Way Nissan Hanwell,"117 Boston Road, London, W73SB",http://www.westwaynissan.co.uk,02082800600,
Hanwells of London Ltd,"86-88 Uxbridge Road, Hanwell, Ealing, London, W73SU",http://www.hanwells.com,02085679729,
Select Cars UK Ltd,"East Barnet Road, Barnet, EN48RF",,02084495558,
Veloces of London Ltd,"183 Victoria Road, Barnet, EN49PA",http://www.veloces.co.uk,02082750630,
Lexus Woodford,"536-564 High Road, Woodford Green, IG80PR",http://www.hillsmotorgroup.co.uk,02085597660,
Masters Mazda,"485 Upper Elmers End Road, Beckenham, BR33DB",http://www.mastersgroup.co.uk,02086587122,
A & A MOTORS,"1 POLE HILL ROAD, LONDON, E47LZ",,07760752834,
Classic Cars UK Ltd,"Liberty House, 30 Whitchurch Lane, Edgware, HA86LE",,02082024059,
Ancaster Nissan,"88 Plaistow Lane, Bromley, BR13JE",http://www.ancaster.co.uk,02082908700,
Trust Ford,"701-725 Sidcup Road, London, SE93AQ",http://www.trustford.co.uk,02088601266,
Spire Cars UK Ltd,"4a Dalston Gardens, Stanmore, HA71BU",http://www.spirecarsltd.co.uk,02082048984,
Ancaster Hyundai,"218 Purley Way, Croydon, CR04XG",http://www.ancaster.co.uk,02089151900,
Bull Cars Ltd,"92 Birchdene Drive, Greenwich, London, SE288RP",http://www.bullcars.co.uk,07713631239,
Robins & Day Vauxhall,"Unit 15-21 Progress Business Park, Progress Way, Croydon, CR04XD",http://www.robinsandday.co.uk/vauxhall,02081501134,
1st Choice Motors,"441 Uxbridge Road, Southall, UB13ET",http://www.1stchoicemotors.co.uk,02085740033,
Trust Ford,"Ford House, Ripple Road, Barking, IG119PG",http://www.trustford.co.uk,03432161550,
R T Cars,"110-114 Burlington Road, New Malden, KT34NS",http://www.rtcarsuk.co.uk,02089422255,
North City Autos,"174-180 Station Road, Waltham Forest, London, E46AN",http://www.northcitymitsubishi.co.uk,02085248855,
Grange Barnet,"Victors Way, Barnet, EN55TZ",http://www.grange.co.uk,02084408252,
Currie Motors,"161 Chertsey Road, Twickenham, TW11ER",http://www.curriemotors.co.uk,02088920041,
Lexus Twickenham,"161 Chertsey Road, Twickenham, TW11ER",http://www.lexus.co.uk,02088922523,
I B Z Motorz,"723-727 High Road, Ilford, IG38RL",http://www.ibzmotorz.co.uk,01268987793,
Bristol Street Motors Ltd,"93 Masons Hill, Bromley, BR29HS",http://www.ford.co.uk,02082499000,
Glyn Hopkin Suzuki Buckhurst Hill,"Epping New Road, Buckhurst Hill, IG95TZ",,01992726803,
Glyn Hopkin Abarth Buckhurst Hill,"Epping New Road, Buckhurst Hill, IG95TZ",,02085066985,
Car Trade,"53 Ferrymead Gardens, Greenford, UB69NG",,07787182225,
Stephen James Bromley,"4 Bickley Road, Bromley, BR12NE",http://www.stephenjames.co.uk,02082958500,
Superlative Motor Company,"Southbridge House, Southbridge Place, Croydon, CR04HA",,07802217318,
Cooper Croydon B M W,"57 Croydon Road, Beddington, Croydon, CR04QE",http://www.coopercroydonbmw.co.uk,02082887777,
Berry Croydon Mini,"57 Croydon Road, Beddington, Croydon, CR04QE",,02082887777,
Berry Croydon,"57 Croydon Road, Beddington, Croydon, CR04QE",http://www.coopercroydonmini.co.uk,02086814040,
Marshall Skoda,"414 Purley Way, Croydon, CR04NZ",http://www.marshall.co.uk/skoda,02086868844,
Auto Car Sales,"Miller House, Rosslyn Crescent, Harrow, HA12RZ",,07956569177,
H R Owen Bentley,"202-204 High Street, Barnet, EN55SZ",http://www.hrowen.co.uk,02037637557,
Kinghams of Croydon,"39-41 South End, Croydon, CR01BE",http://www.kinghams.co.uk,02086804300,
M K G 3000,"113 Heath Road, Twickenham, TW14AZ",http://www.mkg3000.com,02085389377,
Wealdstone Motor Sales Ltd,"1 Oxford Road, Wealdstone, Harrow, HA37RG",http://www.wealdstonemotors.co.uk,02084272355,
Blackaby & Pearce,"101 Headstone Road, Harrow, HA11PG",http://www.blackabyandpearce.co.uk,02088637931,
Motor 4 U Ltd,"318-320 Stafford Road, Croydon, CR04NH",http://www.motor4u.com,02086815681,
Lexus Croydon,"604 Purley Way, Croydon, CR04RF",http://www.croydon.lexus.co.uk,02086495980,
Jemca Car Group,"602 Purley Way, Croydon, CR04RF",http://www.jemca.co.uk,02086495938,
Jemca Toyota,"602 Purley Way, Croydon, CR04RF",http://www.jemcacargroup.co.uk,02086495959,
Headway Cars Ltd,"393 Northolt Road, Harrow, HA28JE",,02084265777,
G & J Auto's Ltd,"72 Carshalton Grove, Sutton, SM14NB",,02087707601,
Burlington Motor Co London Ltd,"New Elms House, 197 High Road, Chigwell, IG75AS",,02085005588,
Volvo Cars East London,"177 High Road, Chigwell, IG76NX",http://www.volvocarseastlondon.co.uk,02085004144,
Drift Bridge Group,"8 Imperial Way, Croydon, CR04RR",,02038196216,
Dees of Croydon,"Imperial Way, Croydon, CR04RR",,02082268888,
Toyota,"57 Imperial Way, Croydon, CR04RR",http://www.jemcacargroup.co.uk,02086495959,
Geyfords,"1 Stafford Road, Wallington, SM69AQ",http://www.geyfords.co.uk,02086690938,
Fiat Parkside,"106-110 Whitton Road, Hounslow, TW32ES",http://www.fiatparkside.com,02088940070,
Village Auto Sales,"70 Banstead Road, Carshalton, SM53NL",,02087702104,
M O C Motor Co Ltd,"Old Oaks, 70 Elms Road, Harrow, HA36BS",http://www.mocmotorcompany.co.uk,02089542030,
De Stefano Ltd,"84 Hayes Street, Bromley, BR27BA",http://www.destefano.co.uk,02084620077,
Twickenham Volkswagen,"40 South Road, Twickenham, TW25NT",http://www.citygate.co.uk,02089770071,
Croydon Isuzu,"409 Brighton Road, South Croydon, CR26ES",http://www.newtonhonda.co.uk,02080579929,
Robins & Day,"443a Brighton Road, South Croydon, CR26EU",http://www.robinsandday.co.uk,02031312411,
Willis Motor Company,"Willis House, 557 Stonefield Way, Ruislip, HA40BH",http://www.willismotorcompany.co.uk,02085159700,
Brayley Honda Ruislip,"Victoria Road, Ruislip, HA40LJ",,02088453551,
Citygate,"664 Victoria Road, Ruislip, HA40LN",http://www.citygate.co.uk,08445585855,
Citygate Volkswagen,"664 Victoria Road, Ruislip, HA40LN",http://www.citygate.co.uk,02038057951,
Glyn Hopkin Kia Romford,"288-298 High Road, Romford, RM66EE",http://www.glynhopkin.com/kia/our-locations/kia-romford/,02085066955,
Robin & Day Vauxhall,"235 Yeading Lane, Hayes, UB49AD",http://www.govauxhall.co.uk,02088930900,
Heston Automotive Ltd,"Unit 18-24, Phoenix Way, Hounslow, TW59NB",http://www.hestonautomotive.co.uk,02085648030,
M & R Autos,"205 Reede Road, Dagenham, RM108EH",http://mandr-autos.co.uk,07494938288,
Guy Salmon Ltd,"Kingston House Estate, Portsmouth Road, Long Ditton, Surbiton, KT65QG",,02087866710,
Hallmark Sports Cars Ltd,"Unit 2 62-70 Fowler Road, Hainault Business Park, Ilford, IG63UT",http://www.hallmark-cars.com,02085001991,
Cooper Thames Ditton,"42 Portsmouth Road, Long Ditton, Surbiton, KT65PZ",http://www.cooperthamesdittonbmw.co.uk,02083981111,
Legend Motors Ltd,"Red Lion Business Park, Red Lion Road, Surbiton, KT67QD",http://www.legend-motors.co.uk,07588131342,
Sytner B M W,"Langston Road, Loughton, IG103UE",,02084187600,
Mercedes-benz & Smart Loughton,"3 Langston Road, Loughton, IG103SD",http://www.mercedes-benzretailgroup.co.uk,02084187700,
Belmont Garage Ltd,"36 Station Road, Sutton, SM26BS",http://www.belmontgarage.com,02086435451,
Brayley Honda Ewell,"Ewell By-pass, Ewell, Epsom, KT172PU",,02083941441,
Antoria Carriage,"9 Station Approach, South Ruislip, Ruislip, HA46RU",http://www.antoriacarriage.co.uk,02088420337,
R Crown Cars,"144 High Street, Cranford, Hounslow, TW59PD",http://www.rcrowncars.co.uk,02085648447,
T P S,"Unit 4 Lion Park Avenue, Chessington, KT91ST",http://www.driftbridge.co.uk,02083974333,
W L M G,"313 Field End Road, Ruislip, HA49NT",http://www.wlmg.co.uk,02088421461,
We Buy Your Used Car,"Unit 4 Crow Lane, Romford, RM70EE",http://www.webuyyourusedcar.co.uk,01708753376,
Loughton Motor Company,"2 Goldings Hill, Loughton, IG101LL",http://www.loughtonmotorcompany.co.uk,02085085157,
Lancaster Volkswagen Loughton Van Centre,"Langston Road, Loughton, IG103TQ",http://www.volkswagen.com,02085325555,
The Trade Parts Specialists,"6 Argent Centre, Silverdale Road, Hayes, UB33BS",http://www.citygate.co.uk,02036978450,
Weybridge Auto Leasing,"Unit 38 Chessington Business Centre, Cox Lane, Chessington, KT91SD",http://www.weybridgeautoleasing.com,07402966668,
Guy Salmon Land Rover,"47 Portsmouth Road, Thames Ditton, KT70TA",http://www.guysalmon.thamesditton.landrover.co.uk,02083390200,
Kingsbury Hampton,"45-49 Station Road, Hampton, TW122BU",http://www.gkingsbury.co.uk,02084818000,
Glyn Hopkin Fiat Romford,"279-289 London Road, Romford, RM79NP",,02085101276,
Glyn Hopkin Alfa Romeo Romford,"279-289 London Road, Romford, RM79NP",,02085066280,
Glyn Hopkin Nissan Romford,"279-289 London Road, Romford, RM79NP",,01708772890,
Ford Retail Group,"Brook House, Portsmouth Road, Thames Ditton, KT70EG",http://www.trustford.co.uk,02083393500,
T W White & Sons,"Leesons Hill, Orpington, BR52LF",http://www.twwhiteandsons.co.uk,01689831637,
