name,address,website,tel,emails
Domino's Pizza Shoreham-by-sea,"75-77 High Street, Shoreham-by-sea, BN435DE",http://www.dominos.co.uk,1273464444,
Pizza Express,"15 High Street, Lewes, BN72LN",http://www.pizzaexpress.com,1273487524,
Domino's Pizza Peacehaven,"94 South Coast Road, Peacehaven, BN108SL",http://www.dominos.co.uk,1273587070,
Village Pizza Kitchen Ltd,"126c High Street, Hurstpierpoint, Hassocks, BN69PX",http://www.villagepizzakitchen.co.uk,1273833322,micah@micahrich.com
Farmhouse Pizza,"397 Brighton Road, Lancing, BN158JX",,1903766677,
The Sussex Pizza Company,"20 High Street, Newhaven, BN99PD",,1273517722,
Pizza Kingz,"29a High Street, Newhaven, BN99PD",,1273516568,
Domino's Pizza Burgess Hill,"9 Mill Road, Burgess Hill, RH158DN",http://www.dominos.co.uk,1444258825,
Newhaven Kebab & Pizza,"59 South Road, Newhaven, BN99QH",,1273514516,
Domino's Pizza Lancing,"44 North Road, Lancing, BN159AB",http://www.dominos.co.uk,1903755500,
Domino's Pizza Lewes,"68 Springett Avenue, Ringmer, Lewes, BN85QX",http://www.dominos.co.uk,1273812666,
Pizza Hot Express,"12 Brighton Road, Worthing, BN113ED",,1903368620,
Pizza Express,"Stanford Cottage, Warwick Street, Worthing, BN113EZ",http://www.pizzaexpress.com,1903821133,
Worthing Favourite Pizza,"38 Ann Street, Worthing, BN111NX",,1903820882,
Domino's Pizza Worthing,"10 Cricketers Parade, Broadwater Street West, Worthing, BN149DB",http://www.dominos.co.uk,1903233499,
Pizza Face Pizza Ltd,"138 Montague Street, Worthing, BN113HG",http://www.pizzafacepizza.co.uk,1903202026,
Pizza Express,"22 The Broadway, Haywards Heath, RH163AL",http://www.pizzaexpress.com,1444456627,
Domino's Pizza Haywards Heath,"3 Commercial Square, Haywards Heath, RH161DW",http://www.dominos.co.uk,1444440999,
King Pizza,"87 Salvington Road, Worthing, BN132JD",,1903830580,
King Pizza & Kebab,"87 Salvington Road, Worthing, BN132JD",,1903691029,
Domino's Pizza Goring-by-sea,"276 Goring Road, Goring-by-Sea, Worthing, BN124PE",http://www.dominos.co.uk,1903244777,
Domino's Pizza Rustington,"9 Broadmark Parade, Broadmark Lane Rustington, Rustington, Littlehampton, BN162NE",http://www.dominos.co.uk,1903788883,
Domino's Pizza Pulborough,"18 Lower Street, Pulborough, RH202BL",http://www.dominos.co.uk,1798879218,
Papa Pizza & Grill,"3 Ferrymead Station Road, Pulborough, RH201AH",,1798872121,
